epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.97451,1.45476,7.55603,3.12556,1.09776,0.45829,0.25429,0.26734,0.16289,0.29307,0.16143,0.18038,0.08241,1.3371,5.69961,2.30013,1.08432,6.668e-05,6.668e-05,6.668e-05
2,3.49311,1.23732,4.34859,1.71598,0.9978,0.61325,0.60643,0.66155,0.44616,0.56376,0.47587,0.48855,0.22715,1.05914,2.83887,1.45327,0.90425,0.000148545,0.000148545,0.000148545
3,5.14163,1.11403,2.64715,0.88706,0.9187,0.88133,0.80206,0.89437,0.62376,0.76562,0.63425,0.65512,0.32113,0.95679,2.36683,1.42618,0.87509,0.000228759,0.000228759,0.000228759
4,6.74699,1.12049,2.41573,0.82162,0.90826,0.90421,0.81034,0.91185,0.61426,0.72683,0.59781,0.61578,0.30353,0.98063,2.47185,1.46934,0.89503,0.000307323,0.000307323,0.000307323
5,8.19253,1.03418,2.2079,0.77769,0.89017,0.88813,0.88708,0.95525,0.64268,0.69832,0.66143,0.68823,0.31844,0.9608,2.4478,1.44687,0.88377,0.000384237,0.000384237,0.000384237
6,9.79959,1.07328,2.11196,0.81985,0.88648,0.87773,0.83722,0.92369,0.62893,0.77813,0.70571,0.75136,0.39728,0.97326,2.3085,2.23122,0.87816,0.0004595,0.0004595,0.0004595
7,11.3574,1.02702,1.92394,0.72188,0.8852,0.89777,0.86732,0.93361,0.6328,0.77631,0.70865,0.74627,0.35688,0.97021,2.11827,1.59199,0.88469,0.000533113,0.000533113,0.000533113
8,12.781,1.07349,2.01445,0.70012,0.88664,0.87232,0.74833,0.87435,0.61247,0.78509,0.63375,0.7193,0.37935,0.92863,2.06767,1.47897,0.88164,0.000605076,0.000605076,0.000605076
9,14.1997,1.02672,1.97043,0.70596,0.88069,0.85818,0.75157,0.87682,0.60408,0.73635,0.6401,0.69205,0.37007,0.99238,2.06254,1.237,0.88976,0.000675388,0.000675388,0.000675388
10,15.6232,1.02089,1.97872,0.70763,0.87578,0.91413,0.86842,0.93267,0.62776,0.86709,0.74143,0.78391,0.37645,0.99529,2.00513,1.10791,0.88891,0.00074405,0.00074405,0.00074405
11,17.0486,1.04629,1.92048,0.68213,0.88901,0.91016,0.87942,0.93535,0.628,0.79383,0.7483,0.76254,0.37019,1.01622,2.03176,1.03933,0.89468,0.000811062,0.000811062,0.000811062
12,18.4505,1.0082,1.90888,0.64009,0.87387,0.90454,0.88929,0.93733,0.64368,0.80422,0.75174,0.77984,0.40686,0.99535,1.88151,1.02566,0.88943,0.000876424,0.000876424,0.000876424
13,20.0072,1.00548,1.92722,0.62539,0.86303,0.95534,0.88786,0.95182,0.64824,0.85685,0.7661,0.79815,0.40253,0.99566,2.1188,0.96071,0.87517,0.000940135,0.000940135,0.000940135
14,21.5539,0.95842,1.76617,0.59035,0.8924,0.97061,0.88748,0.95138,0.64206,0.8288,0.74044,0.76928,0.37499,0.96893,1.92539,0.82883,0.88022,0.0010022,0.0010022,0.0010022
15,22.9576,0.964,1.95558,0.58814,0.86609,0.9564,0.90055,0.95307,0.63375,0.84859,0.75545,0.79249,0.40288,1.01751,1.89731,0.8108,0.90071,0.00106261,0.00106261,0.00106261
16,24.366,0.94467,1.73985,0.58669,0.85831,0.91698,0.8588,0.946,0.64452,0.79926,0.72384,0.73648,0.36011,0.99046,1.90417,0.7632,0.89092,0.00112137,0.00112137,0.00112137
17,25.7975,0.9737,1.78129,0.61158,0.87563,0.96676,0.8828,0.94578,0.64961,0.87324,0.74807,0.77021,0.40988,0.95676,1.87257,0.63274,0.87688,0.00117848,0.00117848,0.00117848
18,27.3507,0.97287,1.74578,0.60378,0.87148,0.97118,0.87074,0.93167,0.64729,0.84662,0.72967,0.75177,0.36828,0.93763,1.95531,0.76916,0.87513,0.00123394,0.00123394,0.00123394
19,28.7538,0.94562,1.71321,0.61463,0.88088,0.77994,0.8707,0.74147,0.50641,0.7298,0.76571,0.62612,0.32352,0.93972,1.71293,1.07331,0.87062,0.00128774,0.00128774,0.00128774
20,30.1819,0.9844,1.74515,0.62441,0.873,0.95941,0.865,0.95372,0.66995,0.83787,0.73857,0.75652,0.3805,0.92461,1.77715,0.74687,0.87089,0.0013399,0.0013399,0.0013399
21,31.5884,0.93477,1.69876,0.57993,0.86996,0.91824,0.85409,0.96008,0.66383,0.77742,0.69571,0.7247,0.33742,0.93432,1.94897,0.67195,0.86986,0.00133693,0.00133693,0.00133693
22,32.9862,0.9369,1.69996,0.56079,0.85836,0.94578,0.91515,0.96578,0.6717,0.84301,0.7981,0.82663,0.41097,0.9459,1.76063,0.70357,0.8799,0.00132043,0.00132043,0.00132043
23,34.5276,0.9241,1.68328,0.54653,0.87426,0.92774,0.90718,0.9726,0.67432,0.78526,0.75754,0.76571,0.36475,0.96194,1.80304,0.68142,0.88414,0.00130393,0.00130393,0.00130393
24,35.9588,0.98935,1.80276,0.57127,0.87273,0.93997,0.92071,0.9714,0.68794,0.81812,0.78777,0.78839,0.38644,0.93196,1.65168,0.61822,0.86486,0.00128742,0.00128742,0.00128742
25,37.3644,0.9587,1.71527,0.56393,0.86617,0.9399,0.92917,0.97116,0.68099,0.82647,0.79293,0.78265,0.38517,0.94505,1.77287,0.59617,0.87415,0.00127092,0.00127092,0.00127092
26,38.7769,0.92058,1.62283,0.54776,0.85446,0.97945,0.91572,0.97401,0.69964,0.88787,0.80184,0.84137,0.44987,0.90724,1.58003,0.62692,0.86231,0.00125442,0.00125442,0.00125442
27,40.3372,0.95929,1.66697,0.54428,0.87381,0.97822,0.89303,0.96708,0.68809,0.86236,0.77116,0.80492,0.39242,0.92572,1.56253,0.62003,0.86704,0.00123791,0.00123791,0.00123791
28,41.7655,0.93155,1.56096,0.52021,0.8653,0.96682,0.91012,0.96594,0.67846,0.85788,0.77519,0.82319,0.42898,0.93532,1.68246,0.60938,0.85925,0.00122141,0.00122141,0.00122141
29,43.171,0.90304,1.50251,0.52066,0.87108,0.94487,0.90625,0.96271,0.64795,0.83548,0.79439,0.83586,0.43305,0.99265,1.78882,0.61238,0.86564,0.00120491,0.00120491,0.00120491
30,44.5807,0.93466,1.61609,0.53208,0.85704,0.96445,0.89487,0.972,0.68886,0.85531,0.76301,0.82541,0.40792,0.95333,1.6613,0.62782,0.8616,0.0011884,0.0011884,0.0011884
31,45.9889,0.94197,1.56341,0.52897,0.86008,0.96803,0.91786,0.97647,0.71131,0.83705,0.7701,0.81574,0.4223,0.90501,1.52464,0.59815,0.85244,0.0011719,0.0011719,0.0011719
32,47.401,0.89074,1.50985,0.51671,0.85652,0.94229,0.91571,0.96822,0.67642,0.8308,0.76167,0.79027,0.33978,0.98403,1.92867,0.60797,0.87232,0.0011554,0.0011554,0.0011554
33,48.8371,0.89184,1.59489,0.51583,0.85945,0.93587,0.90722,0.9626,0.65537,0.81268,0.73919,0.74698,0.29098,1.04473,2.08538,0.62115,0.88977,0.00113889,0.00113889,0.00113889
34,50.2595,0.87285,1.57604,0.50218,0.8509,0.95877,0.90774,0.97035,0.67334,0.82983,0.73655,0.75338,0.34151,0.96119,1.88452,0.59789,0.8717,0.00112239,0.00112239,0.00112239
35,51.6712,0.91364,1.59435,0.50814,0.85899,0.96652,0.91143,0.97216,0.70552,0.84119,0.75857,0.79499,0.39322,0.87963,1.63512,0.55155,0.85328,0.00110589,0.00110589,0.00110589
36,53.0873,0.87907,1.5715,0.49343,0.85682,0.97218,0.91414,0.9746,0.70892,0.86549,0.7773,0.81082,0.39049,0.88646,1.55082,0.48685,0.85283,0.00108938,0.00108938,0.00108938
37,54.4872,0.91356,1.59735,0.50916,0.85616,0.98695,0.92513,0.98156,0.73548,0.86199,0.79544,0.82067,0.42479,0.84755,1.4138,0.47273,0.84686,0.00107288,0.00107288,0.00107288
38,56.2391,0.84726,1.4959,0.48386,0.84648,0.97378,0.94445,0.98472,0.7334,0.87666,0.79071,0.82285,0.42437,0.87337,1.43628,0.47487,0.84754,0.00105638,0.00105638,0.00105638
39,57.6472,0.88092,1.52155,0.48356,0.84225,0.97669,0.96081,0.98726,0.74411,0.86424,0.80972,0.8299,0.41761,0.84464,1.48214,0.45126,0.84254,0.00103987,0.00103987,0.00103987
40,59.2383,0.85783,1.47692,0.46619,0.84452,0.9864,0.96167,0.98833,0.7347,0.85592,0.83167,0.82315,0.41014,0.82859,1.46885,0.44218,0.84285,0.00102337,0.00102337,0.00102337
41,60.6708,0.84539,1.45909,0.46298,0.84752,0.98314,0.96929,0.98932,0.74245,0.86715,0.84357,0.83623,0.41598,0.81251,1.47228,0.44433,0.83888,0.00100687,0.00100687,0.00100687
42,62.0899,0.85857,1.4495,0.46868,0.8457,0.97991,0.9647,0.98806,0.74987,0.86486,0.82916,0.8378,0.42082,0.79769,1.42667,0.43325,0.83824,0.000990365,0.000990365,0.000990365
43,63.6605,0.85901,1.48598,0.47371,0.84103,0.98502,0.96807,0.98817,0.75677,0.84659,0.81999,0.8314,0.43521,0.79164,1.47941,0.43236,0.83745,0.000973861,0.000973861,0.000973861
44,65.3089,0.82316,1.39537,0.45514,0.85932,0.98256,0.96921,0.98968,0.76054,0.86924,0.83611,0.85147,0.45056,0.79121,1.40244,0.4372,0.8354,0.000957358,0.000957358,0.000957358
45,66.9063,0.85895,1.44034,0.46251,0.84746,0.98228,0.97238,0.98945,0.75646,0.87572,0.84752,0.85546,0.45676,0.8257,1.44287,0.4522,0.84121,0.000940855,0.000940855,0.000940855
46,68.5181,0.84285,1.4735,0.45719,0.85327,0.98884,0.96947,0.98924,0.74113,0.88585,0.85539,0.86197,0.45936,0.86744,1.48921,0.47093,0.84464,0.000924352,0.000924352,0.000924352
47,69.9417,0.87321,1.52307,0.46052,0.85824,0.9927,0.96698,0.9903,0.75466,0.87459,0.84766,0.8523,0.43783,0.78,1.38336,0.43227,0.83483,0.000907848,0.000907848,0.000907848
48,71.3739,0.85487,1.45231,0.46631,0.85034,0.98966,0.9597,0.98947,0.75361,0.85729,0.82842,0.83163,0.42587,0.81025,1.38573,0.44317,0.84149,0.000891345,0.000891345,0.000891345
49,72.7998,0.83183,1.48505,0.44697,0.84113,0.98716,0.95569,0.98862,0.7468,0.86946,0.84287,0.84763,0.43625,0.82809,1.43602,0.43762,0.84277,0.000874842,0.000874842,0.000874842
50,74.2221,0.8531,1.50159,0.46777,0.83472,0.98526,0.95714,0.98777,0.74761,0.88488,0.84799,0.8545,0.46308,0.80569,1.42771,0.43614,0.83554,0.000858338,0.000858338,0.000858338
51,75.6643,0.87092,1.57657,0.49699,0.86048,0.97893,0.95731,0.98809,0.75594,0.85537,0.81997,0.81997,0.42807,0.805,1.41272,0.4369,0.8377,0.000841835,0.000841835,0.000841835
52,77.1098,0.8301,1.46045,0.44811,0.85459,0.98084,0.95286,0.98687,0.74679,0.84022,0.80857,0.79744,0.40174,0.81028,1.49937,0.42989,0.84058,0.000825332,0.000825332,0.000825332
53,81.5515,0.84339,1.47645,0.45047,0.85454,0.98194,0.96,0.98661,0.76092,0.86973,0.84647,0.84858,0.44085,0.76555,1.52438,0.41704,0.83511,0.000808828,0.000808828,0.000808828
54,86.476,0.85858,1.47799,0.45047,0.84863,0.98451,0.95929,0.98725,0.76045,0.87483,0.84273,0.84927,0.43908,0.7728,1.54845,0.42046,0.83596,0.000792325,0.000792325,0.000792325
55,90.9541,0.82488,1.3891,0.43123,0.85308,0.9745,0.965,0.98681,0.7714,0.85159,0.82571,0.83953,0.44321,0.7548,1.41428,0.43003,0.83284,0.000775822,0.000775822,0.000775822
56,97.209,0.80462,1.38255,0.43471,0.8355,0.98335,0.96096,0.98744,0.77443,0.85996,0.83426,0.85033,0.44761,0.736,1.38128,0.41337,0.82877,0.000759318,0.000759318,0.000759318
57,114.299,0.80534,1.43606,0.42678,0.84373,0.9907,0.95714,0.98907,0.77106,0.88196,0.83776,0.85466,0.42475,0.75162,1.416,0.40112,0.83016,0.000742815,0.000742815,0.000742815
58,115.717,0.79475,1.40123,0.41579,0.84936,0.99315,0.95858,0.99064,0.74302,0.86965,0.83518,0.83425,0.40252,0.80701,1.57749,0.40806,0.84021,0.000726312,0.000726312,0.000726312
59,117.13,0.83209,1.48637,0.43356,0.83517,0.98896,0.97085,0.99108,0.76251,0.86592,0.84474,0.8465,0.43315,0.78734,1.43979,0.40668,0.83737,0.000709809,0.000709809,0.000709809
60,118.567,0.78609,1.35022,0.42577,0.83714,0.98942,0.97571,0.99089,0.78247,0.86975,0.845,0.86202,0.45681,0.74502,1.31938,0.39311,0.83048,0.000693305,0.000693305,0.000693305
61,120.158,0.78281,1.37498,0.41785,0.84046,0.99065,0.97559,0.99062,0.78284,0.86484,0.84714,0.86476,0.45796,0.74021,1.33095,0.39429,0.82891,0.000676802,0.000676802,0.000676802
62,121.731,0.78481,1.38814,0.42142,0.84219,0.99437,0.97351,0.99065,0.77278,0.87708,0.86786,0.88267,0.48315,0.75072,1.36961,0.39777,0.82598,0.000660299,0.000660299,0.000660299
63,123.313,0.77451,1.32331,0.42004,0.83765,0.9945,0.97143,0.99099,0.77733,0.89156,0.86786,0.88619,0.50533,0.73817,1.34078,0.38995,0.82378,0.000643795,0.000643795,0.000643795
64,124.877,0.7682,1.27445,0.41568,0.8369,0.99026,0.97587,0.99107,0.79215,0.88651,0.87164,0.88471,0.50646,0.71258,1.28348,0.3758,0.82112,0.000627292,0.000627292,0.000627292
65,126.462,0.76661,1.34543,0.40497,0.83337,0.99069,0.97571,0.99075,0.79622,0.86733,0.84134,0.85463,0.48984,0.70974,1.29232,0.38274,0.82168,0.000610789,0.000610789,0.000610789
66,127.876,0.74337,1.25073,0.40716,0.83979,0.99267,0.97157,0.99089,0.79725,0.86512,0.84348,0.84241,0.46799,0.71367,1.27485,0.38779,0.82102,0.000594286,0.000594286,0.000594286
67,129.292,0.7528,1.28428,0.41217,0.84593,0.99125,0.97286,0.99155,0.80088,0.87078,0.85143,0.83656,0.44896,0.69127,1.26494,0.37751,0.81793,0.000577782,0.000577782,0.000577782
68,130.726,0.7357,1.26975,0.40002,0.84582,0.98923,0.97742,0.99211,0.79858,0.87667,0.86441,0.84692,0.45256,0.68911,1.2457,0.37297,0.81888,0.000561279,0.000561279,0.000561279
69,132.159,0.75973,1.40749,0.41088,0.83559,0.98923,0.97857,0.99103,0.77964,0.88384,0.86272,0.86991,0.47912,0.73533,1.36751,0.38599,0.82441,0.000544776,0.000544776,0.000544776
70,133.581,0.74919,1.3034,0.39874,0.83299,0.98988,0.97563,0.99038,0.77736,0.87065,0.84929,0.86837,0.48532,0.73642,1.36961,0.38765,0.82618,0.000528272,0.000528272,0.000528272
71,135,0.73943,1.31809,0.41313,0.83872,0.99109,0.97034,0.98958,0.79171,0.8655,0.84444,0.86367,0.4683,0.69751,1.25525,0.37232,0.82181,0.000511769,0.000511769,0.000511769
72,136.422,0.74868,1.23541,0.39802,0.83817,0.98889,0.97214,0.99009,0.79169,0.87155,0.84929,0.86639,0.45972,0.68421,1.22882,0.36716,0.81769,0.000495266,0.000495266,0.000495266
73,137.846,0.73361,1.2655,0.39101,0.83222,0.98987,0.96946,0.98957,0.79063,0.87582,0.85418,0.86232,0.46875,0.68878,1.25772,0.36799,0.81716,0.000478762,0.000478762,0.000478762
74,139.279,0.74441,1.26346,0.40022,0.82885,0.98926,0.97397,0.98925,0.80137,0.87473,0.85772,0.86557,0.48817,0.67868,1.21151,0.36022,0.81745,0.000462259,0.000462259,0.000462259
75,140.701,0.72386,1.23741,0.38683,0.83433,0.99265,0.97206,0.98958,0.80395,0.86616,0.8456,0.8539,0.4751,0.677,1.20466,0.35404,0.81642,0.000445756,0.000445756,0.000445756
76,142.131,0.71935,1.29982,0.38806,0.82309,0.99212,0.97401,0.99126,0.80182,0.87613,0.84473,0.85557,0.45885,0.6848,1.24434,0.35185,0.81861,0.000429253,0.000429253,0.000429253
77,143.551,0.71731,1.25444,0.38397,0.82728,0.99691,0.97661,0.99241,0.81032,0.87545,0.86726,0.86729,0.46931,0.67444,1.23895,0.35069,0.81802,0.000412749,0.000412749,0.000412749
78,144.96,0.70238,1.21832,0.37788,0.8326,0.99701,0.97613,0.99207,0.82039,0.87975,0.86677,0.87105,0.49124,0.66559,1.21601,0.35016,0.81622,0.000396246,0.000396246,0.000396246
79,146.531,0.7142,1.19102,0.38143,0.82216,0.99855,0.97616,0.99217,0.81729,0.88198,0.85936,0.86421,0.48976,0.67442,1.23844,0.35084,0.81769,0.000379743,0.000379743,0.000379743
80,147.944,0.71498,1.2117,0.37624,0.84075,0.99722,0.97484,0.9918,0.81637,0.8671,0.84276,0.84918,0.46795,0.68195,1.25917,0.34704,0.81775,0.000363239,0.000363239,0.000363239
81,149.368,0.73492,1.26594,0.39139,0.8276,0.99603,0.97429,0.99163,0.81464,0.87365,0.84857,0.85352,0.46084,0.68218,1.22868,0.34585,0.81553,0.000346736,0.000346736,0.000346736
82,150.778,0.69317,1.18762,0.373,0.83278,0.9929,0.97885,0.99084,0.81801,0.88454,0.85561,0.85776,0.47779,0.66577,1.18921,0.34252,0.81314,0.000330233,0.000330233,0.000330233
83,152.219,0.72802,1.31688,0.38346,0.8181,0.99326,0.97786,0.99005,0.81678,0.88213,0.86064,0.85824,0.47086,0.66062,1.18937,0.33986,0.81348,0.000313729,0.000313729,0.000313729
84,153.639,0.68183,1.22726,0.36456,0.81917,0.99558,0.97701,0.99065,0.81219,0.87786,0.85714,0.85032,0.45988,0.65328,1.17582,0.33748,0.81371,0.000297226,0.000297226,0.000297226
85,155.058,0.70899,1.27935,0.36922,0.83244,0.99435,0.97655,0.99086,0.8131,0.87937,0.86266,0.85425,0.46398,0.64282,1.15623,0.33855,0.81199,0.000280723,0.000280723,0.000280723
86,156.483,0.73322,1.24203,0.37907,0.82967,0.99622,0.97744,0.99153,0.81681,0.88164,0.86318,0.85806,0.46295,0.63149,1.16716,0.33584,0.81046,0.00026422,0.00026422,0.00026422
87,157.884,0.68086,1.2185,0.36792,0.81984,0.99648,0.97857,0.99188,0.81504,0.87374,0.85643,0.8534,0.46216,0.62904,1.16136,0.33929,0.8101,0.000247716,0.000247716,0.000247716
88,159.314,0.66043,1.14982,0.3585,0.81551,0.99515,0.98062,0.99185,0.81252,0.86627,0.85211,0.85231,0.45784,0.64109,1.18802,0.34317,0.81228,0.000231213,0.000231213,0.000231213
89,160.726,0.67596,1.13634,0.36801,0.8182,0.99568,0.98127,0.99199,0.81709,0.87761,0.86357,0.86684,0.467,0.63904,1.22243,0.33801,0.8134,0.00021471,0.00021471,0.00021471
90,162.154,0.69064,1.20742,0.36715,0.82001,0.99652,0.9812,0.99215,0.8228,0.88425,0.86714,0.87153,0.48015,0.6229,1.19648,0.33314,0.81096,0.000198206,0.000198206,0.000198206
91,164.105,0.72616,1.27575,0.39452,0.82895,0.99681,0.98286,0.99207,0.82796,0.89197,0.87337,0.87907,0.4882,0.61285,1.1675,0.33117,0.80894,0.000181703,0.000181703,0.000181703
92,165.689,0.6901,1.20025,0.37127,0.82376,0.99825,0.97929,0.992,0.82619,0.87854,0.85999,0.86598,0.4785,0.61759,1.15552,0.33137,0.80846,0.0001652,0.0001652,0.0001652
93,167.059,0.69007,1.22586,0.37978,0.81329,0.99852,0.97714,0.99154,0.81724,0.87123,0.85071,0.85524,0.45942,0.6351,1.15578,0.33395,0.8105,0.000148696,0.000148696,0.000148696
94,168.447,0.67539,1.20195,0.3748,0.81463,0.99787,0.97714,0.99079,0.81149,0.8644,0.84429,0.84663,0.44791,0.6475,1.16034,0.33563,0.81122,0.000132193,0.000132193,0.000132193
95,169.829,0.68156,1.18696,0.36969,0.81842,0.9972,0.97376,0.99055,0.80661,0.85622,0.83364,0.83621,0.43912,0.64928,1.16954,0.33654,0.81139,0.00011569,0.00011569,0.00011569
96,171.245,0.68437,1.20901,0.36172,0.82352,0.9948,0.97532,0.99039,0.80899,0.85823,0.83786,0.8363,0.44087,0.63946,1.16305,0.33158,0.81068,9.91865e-05,9.91865e-05,9.91865e-05
97,172.626,0.66477,1.14818,0.35435,0.81624,0.99572,0.97429,0.99062,0.81411,0.86798,0.84228,0.84142,0.44473,0.62523,1.14773,0.32793,0.80929,8.26832e-05,8.26832e-05,8.26832e-05
98,174.007,0.6587,1.15633,0.35801,0.81239,0.99863,0.97445,0.99041,0.82034,0.87777,0.85366,0.85037,0.45853,0.60922,1.12782,0.32375,0.80749,6.61799e-05,6.61799e-05,6.61799e-05
99,175.396,0.66159,1.15459,0.35249,0.82396,0.99863,0.97444,0.99036,0.82445,0.88064,0.85731,0.85361,0.46196,0.60234,1.11595,0.32144,0.8063,4.96766e-05,4.96766e-05,4.96766e-05
100,176.779,0.6731,1.16784,0.36181,0.817,0.99804,0.97553,0.99029,0.82682,0.88116,0.85786,0.85324,0.46886,0.60098,1.11225,0.32222,0.80558,3.31733e-05,3.31733e-05,3.31733e-05
